Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
08/2015,86507.22112462566
09/2015,84457.09292036093
10/2015,93127.60021443068
11/2015,97271.6865735949
12/2015,93029.0473400996
01/2016,88145.4677506197
02/2016,88285.25910265528
03/2016,90158.85027076151
04/2016,90365.61759920367
05/2016,94041.86464365874
06/2016,94727.26371003038
07/2016,98122.44832841991
08/2016,98092.57942580803
09/2016,97855.98610693392
10/2016,97958.06446732309
11/2016,104556.63726649221
12/2016,107574.05309080004
01/2017,107433.25068906235
02/2017,113364.6486640667
03/2017,112498.78373369786
04/2017,111168.99927821246
05/2017,109809.85361581347
06/2017,108645.92529868473
07/2017,107901.6282803669
08/2017,107335.05397738265
09/2017,109725.43749201212
10/2017,113906.76227661096
11/2017,115309.63716797266
12/2017,115191.77347553233
01/2018,117250.59724179513
02/2018,115175.9837627177
03/2018,111274.08712090131
04/2018,113938.96098767359
05/2018,120472.88945259972
06/2018,121640.63274996907
07/2018,125328.92670893233
08/2018,130356.77819396152
09/2018,131948.15421865133
10/2018,125731.73732401441
11/2018,127830.83777741969
12/2018,115364.79139345148
01/2019,124197.35471944524
02/2019,128993.59461161248
03/2019,133618.62730611363
04/2019,139239.43869351601
05/2019,131174.4924577311
06/2019,137593.57976994407
07/2019,142437.5022354225
08/2019,141641.84664153893
09/2019,146239.9874451932
10/2019,145857.7333579169
11/2019,153519.57397027433
12/2019,154605.55398945126
01/2020,157089.91020089065
02/2020,145143.42640823073
03/2020,127460.09206037804
04/2020,144857.45506297878
05/2020,148213.47863941547
06/2020,150324.2450372519
07/2020,150088.267773964
08/2020,159637.00180717176
09/2020,156614.33628777092
10/2020,152579.86764961152
11/2020,165297.04918009372
12/2020,167581.8398378444
01/2021,167735.24640113272
02/2021,172573.76153343054
03/2021,186215.4919058441
04/2021,190357.67416654082
05/2021,189817.58785578987
06/2021,199430.45127708
07/2021,204047.604063698
08/2021,211264.5067692492
09/2021,205874.93450898444
10/2021,219050.23124671957
11/2021,222931.06048499772
12/2021,233682.9437252059
01/2022,224967.28797328754
02/2022,217393.3510687016
03/2022,227455.58219174607
04/2022,218671.88539007845
05/2022,215535.216038354
06/2022,203950.4241026423
07/2022,226883.90453305712
08/2022,221940.37035095046
09/2022,206708.8330155098
10/2022,219702.8960830352
11/2022,221651.7941205841
12/2022,203202.0837910024
01/2023,212640.77523455225
02/2023,211633.0820976222
03/2023,214238.24642605282
04/2023,215481.94323618317
05/2023,222455.5568658969
06/2023,233160.38739900722
07/2023,237222.98452621984
08/2023,236775.55086954488
09/2023,231318.43529727086
10/2023,225921.39736823115
11/2023,239516.5561476683
12/2023,247701.34848824504
01/2024,256814.1026938452
02/2024,270801.7822068392
03/2024,279902.56650412816
04/2024,270799.44378207345
05/2024,280717.45912530855
06/2024,294783.1947701515
07/2024,294982.116453384
08/2024,295079.1760101127
09/2024,298447.0495512129
10/2024,304274.3270124975
11/2024,331895.24242956
12/2024,329378.52851706924
01/2025,338420.54886478174
02/2025,333427.48945809103
03/2025,302887.18151907565
04/2025,286073.2210008534
05/2025,304991.94580803666
06/2025,310082.4937691555
07/2025,324631.074618826
08/2025,325188.8635007704
09/2025,334675.4912702817
10/2025,348054.981330242
11/2025,348546.03271020175
12/2025,343297.9376261788
01/2026,343337.61843957973
